"","EndDates","EndLocation","StartDates","StartLocation"
"39",2015-09-14,"Computer Centre",2015-09-14,"KR MRT Station "
"40",2017-07-18,"University Town",2017-07-18,"Computer Centre"
"41",2017-09-20,"Computer Centre",2017-09-20,"University Town"
"42",2016-08-08,"Central Library",2016-08-08,"KR MRT Station "
"43",2017-07-04,"Opp. KR MRT Station",2017-07-04,"KR MRT Station "
"44",2016-11-10,"KR MRT Station ",2016-11-10,"University Town"
"45",2015-07-20,"S17",2015-07-20,"Central Library"
"46",2017-07-06,"Opp. KR MRT Station",2017-07-06,"KR MRT Station "
"47",2017-12-20,"PGP",2017-12-20,"BIZ2"
"48",2016-01-21,"University Town",2016-01-21,"Central Library"
"49",2016-02-05,"Opp. KR MRT Station",2016-02-05,"COM2"
"50",2017-07-12,"Ventus (Opp. LT13)",2017-07-12,"COM2"
"51",2015-08-15,"KR MRT Station ",2015-08-15,"S17"
"52",2015-05-15,"Central Library",2015-05-15,"COM2"
"53",2017-11-29,"Opp. Yusof Ishak House",2017-11-29,"KR MRT Station "
"54",2015-11-26,"COM2",2015-11-26,"Central Library"
"55",2017-11-22,"COM2",2017-11-22,"KR MRT Station "
"56",2015-10-02,"Computer Centre",2015-10-02,"S17"
"57",2015-12-10,"University Town",2015-12-10,"LT29"
"58",2016-01-06,"Computer Centre",2016-01-06,"EA"
"59",2016-08-02,"University Town",2016-08-02,"Opp. KR MRT Station"
"60",2016-05-09,"LT29",2016-05-09,"Computer Centre"
"61",2015-07-16,"Central Library",2015-07-16,"Ventus (Opp. LT13)"
"62",2015-08-22,"Computer Centre",2015-08-22,"University Town"
"63",2016-01-29,"COM2",2016-01-29,"Opp. KR MRT Station"
"64",2016-06-15,"Opp. NUSS",2016-06-15,"Opp. KR MRT Station"
"65",2015-11-02,"LT29",2015-11-02,"S17"
"66",2016-12-20,"University Town",2016-12-20,"Central Library"
"67",2016-08-10,"Yusof Ishak House",2016-08-10,"COM2"
"68",2015-03-01,"Opp. KR MRT Station",2015-03-01,"Central Library"
"69",2016-12-06,"S17",2016-12-06,"LT29"
"70",2015-10-30,"KR MRT Station ",2015-10-30,"S17"
"71",2016-07-28,"University Town",2016-07-28,"COM2"
"72",2017-08-24,"COM2",2017-08-24,"Opp. KR MRT Station"
"73",2015-09-29,"Opp. KR MRT Station",2015-09-29,"Computer Centre"
"74",2016-02-24,"University Town",2016-02-24,"Central Library"
"75",2016-05-23,"House 15",2016-05-23,"Central Library"
"76",2016-10-08,"S17",2016-10-08,"COM2"
"77",2017-05-03,"LT29",2017-05-03,"Opp. KR MRT Station"
"78",2016-10-22,"Opp. KR MRT Station",2016-10-22,"AS7"
"79",2016-04-06,"LT29",2016-04-06,"Carpark 11 (BIZ)"
"80",2015-08-08,"LT29",2015-08-08,"University Town"
"81",2017-03-29,"Opp. Yusof Ishak House",2017-03-29,"University Town"
"82",2015-08-19,"Computer Centre",2015-08-19,"KR MRT Station "
"83",2017-01-09,"KR MRT Station ",2017-01-09,"Carpark 11 (BIZ)"
"84",2016-01-27,"BIZ2",2016-01-27,"University Town"
"85",2017-05-02,"Opp. House 12",2017-05-02,"KR MRT Station "
"86",2015-02-23,"COM2",2015-02-23,"University Town"
"87",2016-04-08,"Central Library",2016-04-08,"PGP"
"88",2016-01-26,"Computer Centre",2016-01-26,"University Town"
"89",2015-01-06,"S17",2015-01-06,"Opp. Yusof Ishak House"
"90",2016-04-25,"LT13",2016-04-25,"University Town"
"91",2016-09-06,"Opp. KR MRT Station",2016-09-06,"COM2"
"92",2017-07-24,"LT29",2017-07-24,"Opp. University Health Centre"
"93",2015-01-21,"KR MRT Station ",2015-01-21,"LT29"
"94",2017-10-09,"Computer Centre",2017-10-09,"PGP"
"95",2016-12-01,"University Town",2016-12-01,"Carpark 11 (BIZ)"
"96",2015-11-25,"S17",2015-11-25,"KR MRT Station "
"97",2016-03-08,"KR MRT Station ",2016-03-08,"COM2"
"98",2016-05-16,"Opp. KR MRT Station",2016-05-16,"Central Library"
"99",2016-04-14,"LT29",2016-04-14,"University Town"
"100",2016-07-18,"KR MRT Station ",2016-07-18,"University Town"
"101",2015-05-22,"KR MRT Station ",2015-05-22,"University Town"
"102",2017-01-01,"Museum",2017-01-01,"Opp. University Hall"
"103",2017-01-06,"University Town",2017-01-06,"KR MRT Station "
"104",2016-03-22,"Opp. KR MRT Station",2016-03-22,"LT29"
"105",2017-12-08,"Computer Centre",2017-12-08,"Opp. KR MRT Station"
"106",2016-02-22,"S17",2016-02-22,"KR MRT Station "
"107",2016-02-09,"Computer Centre",2016-02-09,"University Town"
"108",2015-07-11,"KR MRT Station ",2015-07-11,"COM2"
"109",2015-07-29,"Computer Centre",2015-07-29,"University Town"
"110",2016-05-01,"Computer Centre",2016-05-01,"University Town"
"111",2017-01-29,"House 7",2017-01-29,"University Town"
"112",2016-01-12,"Opp. Yusof Ishak House",2016-01-12,"COM2"
"113",2015-12-25,"University Town",2015-12-25,"LT29"
"114",2016-01-06,"S17",2016-01-06,"KR MRT Station "
"115",2017-04-29,"Central Library",2017-04-29,"KR MRT Station "
"116",2017-02-07,"Computer Centre",2017-02-07,"Opp. KR MRT Station"
"117",2015-07-23,"COM2",2015-07-23,"S17"
"118",2016-01-05,"University Town",2016-01-05,"COM2"
"119",2015-03-06,"COM2",2015-03-06,"Opp. Yusof Ishak House"
"120",2016-09-23,"S17",2016-09-23,"Kent Ridge Bus Terminal"
"121",2015-04-28,"University Town",2015-04-28,"S17"
"122",2016-02-05,"LT29",2016-02-05,"Opp. NUSS"
"123",2016-04-25,"University Town",2016-04-25,"LT29"
"124",2016-10-04,"KR MRT Station ",2016-10-04,"LT29"
"125",2017-04-15,"LT29",2017-04-15,"LT13"
"126",2017-08-02,"Computer Centre",2017-08-02,"KR MRT Station "
"127",2017-11-23,"Opp. Hon Sui Sen Memorial Library",2017-11-23,"Computer Centre"
"128",2017-09-27,"KR MRT Station ",2017-09-27,"University Town"
"129",2015-02-22,"University Town",2015-02-22,"PGP"
"130",2016-02-26,"Central Library",2016-02-26,"KR MRT Station "
"131",2015-03-16,"KR MRT Station ",2015-03-16,"S17"
"132",2016-06-24,"Opp. KR MRT Station",2016-06-24,"University Town"
"133",2015-01-12,"Computer Centre",2015-01-12,"LT29"
"134",2015-05-13,"LT13",2015-05-13,"LT29"
"135",2016-10-01,"Opp. University Health Centre",2016-10-01,"S17"
"136",2016-03-04,"LT29",2016-03-04,"BIZ2"
"137",2017-10-02,"Central Library",2017-10-02,"LT29"
"138",2016-12-22,"COM2",2016-12-22,"LT13"
"139",2017-12-26,"S17",2017-12-26,"LT29"
"140",2015-04-13,"Museum",2015-04-13,"Central Library"
"141",2015-06-10,"University Town",2015-06-10,"KR MRT Station "
"142",2015-11-09,"LT29",2015-11-09,"Central Library"
"143",2017-03-16,"Opp. KR MRT Station",2017-03-16,"S17"
"144",2015-01-26,"LT29",2015-01-26,"KR MRT Station "
"145",2017-08-16,"COM2",2017-08-16,"Computer Centre"
"146",2017-01-02,"LT29",2017-01-02,"S17"
"147",2017-07-22,"University Town",2017-07-22,"EA"
"148",2015-06-24,"Computer Centre",2015-06-24,"KR MRT Station "
"149",2016-03-24,"AS7",2016-03-24,"S17"
"150",2015-02-09,"University Town",2015-02-09,"LT29"
"151",2015-05-08,"Computer Centre",2015-05-08,"University Town"
"152",2016-06-18,"Kent Ridge Bus Terminal",2016-06-18,"KR MRT Station "
"153",2016-06-30,"University Town",2016-06-30,"Computer Centre"
"154",2015-04-07,"COM2",2015-04-07,"Opp. KR MRT Station"
"155",2017-06-27,"University Town",2017-06-27,"University Town"
"156",2017-11-12,"S17",2017-11-12,"KR MRT Station "
"157",2015-03-18,"University Town",2015-03-18,"KR MRT Station "
"158",2017-11-04,"COM2",2017-11-04,"Opp. KR MRT Station"
"159",2017-01-24,"Kent Ridge Bus Terminal",2017-01-24,"LT29"
"160",2016-07-07,"Opp. KR MRT Station",2016-07-07,"Computer Centre"
"161",2017-12-19,"Opp. KR MRT Station",2017-12-19,"AS7"
"162",2017-01-13,"COM2",2017-01-13,"University Hall"
"163",2015-04-21,"KR MRT Station ",2015-04-21,"University Town"
"164",2016-08-30,"Opp. KR MRT Station",2016-08-30,"COM2"
"165",2015-04-25,"Opp. KR MRT Station",2015-04-25,"Opp. University Health Centre"
"166",2016-12-20,"COM2",2016-12-20,"House 15"
"167",2015-04-10,"COM2",2015-04-10,"Computer Centre"
"168",2016-11-04,"Opp. KR MRT Station",2016-11-04,"KR MRT Station "
"169",2016-07-25,"University Town",2016-07-25,"COM2"
"170",2017-10-27,"Opp. KR MRT Station",2017-10-27,"Computer Centre"
"171",2015-07-29,"Opp. KR MRT Station",2015-07-29,"LT29"
"172",2015-01-19,"Computer Centre",2015-01-19,"University Hall"
"173",2016-09-20,"S17",2016-09-20,"University Town"
"174",2015-02-23,"University Town",2015-02-23,"Central Library"
"175",2015-03-16,"S17",2015-03-16,"Opp. KR MRT Station"
"176",2015-05-01,"University Town",2015-05-01,"University Town"
"177",2017-11-26,"S17",2017-11-26,"LT29"
"178",2017-02-18,"Opp. KR MRT Station",2017-02-18,"KR MRT Station "
"179",2017-06-26,"COM2",2017-06-26,"House 7"
"180",2017-07-12,"S17",2017-07-12,"KR MRT Station "
"181",2016-03-02,"LT29",2016-03-02,"KR MRT Station "
"182",2016-07-27,"KR MRT Station ",2016-07-27,"EA"
"183",2016-09-05,"House 12",2016-09-05,"Opp. KR MRT Station"
"184",2015-04-15,"University Town",2015-04-15,"LT29"
"185",2017-07-17,"Ventus (Opp. LT13)",2017-07-17,"University Hall"
"186",2015-04-24,"House 15",2015-04-24,"AS7"
"187",2016-08-10,"Central Library",2016-08-10,"KR MRT Station "
"188",2017-01-16,"House 12",2017-01-16,"LT29"
"189",2015-09-18,"Computer Centre",2015-09-18,"KR MRT Station "
"190",2015-05-21,"University Town",2015-05-21,"KR MRT Station "
"191",2017-06-23,"COM2",2017-06-23,"KR MRT Station "
"192",2017-05-01,"Central Library",2017-05-01,"COM2"
"193",2016-09-29,"LT29",2016-09-29,"Central Library"
"194",2016-09-27,"Computer Centre",2016-09-27,"University Town"
"195",2016-06-19,"LT29",2016-06-19,"University Town"
"196",2016-10-13,"AS7",2016-10-13,"Opp. KR MRT Station"
"197",2016-08-11,"S17",2016-08-11,"LT29"
"198",2017-02-25,"S17",2017-02-25,"Computer Centre"
"199",2017-03-27,"Raffles Hall",2017-03-27,"Central Library"
"200",2017-08-07,"University Town",2017-08-07,"Opp. House 12"
"201",2017-03-07,"Carpark 11 (BIZ)",2017-03-07,"Computer Centre"
"202",2015-06-10,"KR MRT Station ",2015-06-10,"Opp. KR MRT Station"
"203",2016-09-09,"LT29",2016-09-09,"University Town"
"204",2016-10-19,"BIZ2",2016-10-19,"Central Library"
"205",2016-05-06,"KR MRT Station ",2016-05-06,"Opp. KR MRT Station"
"206",2017-05-17,"University Town",2017-05-17,"Opp. KR MRT Station"
"207",2016-09-20,"LT29",2016-09-20,"LT13"
"208",2017-08-17,"Opp. KR MRT Station",2017-08-17,"Central Library"
"209",2015-11-09,"COM2",2015-11-09,"Opp. Yusof Ishak House"
"210",2017-10-19,"S17",2017-10-19,"University Town"
"211",2016-02-22,"University Town",2016-02-22,"KR MRT Station "
"212",2016-11-03,"Central Library",2016-11-03,"Computer Centre"
"213",2017-04-28,"Central Library",2017-04-28,"University Town"
"214",2016-12-06,"KR MRT Station ",2016-12-06,"University Town"
"215",2017-08-25,"KR MRT Station ",2017-08-25,"University Town"
"216",2017-06-01,"University Town",2017-06-01,"House 7"
"217",2015-09-09,"Central Library",2015-09-09,"COM2"
"218",2016-03-18,"S17",2016-03-18,"Opp. University Hall"
"219",2016-09-05,"Opp. University Health Centre",2016-09-05,"Opp. KR MRT Station"
"220",2017-08-15,"Museum",2017-08-15,"S17"
"221",2017-12-07,"Central Library",2017-12-07,"Opp. KR MRT Station"
"222",2016-11-09,"Central Library",2016-11-09,"LT29"
"223",2016-11-10,"S17",2016-11-10,"Opp. University Hall"
"224",2016-04-01,"University Town",2016-04-01,"LT29"
"225",2015-01-23,"EA",2015-01-23,"COM2"
"226",2017-10-04,"House 15",2017-10-04,"COM2"
"227",2015-03-12,"University Town",2015-03-12,"COM2"
"228",2016-01-07,"S17",2016-01-07,"COM2"
"229",2015-08-08,"Opp. University Hall",2015-08-08,"Central Library"
"230",2017-03-03,"Computer Centre",2017-03-03,"KR MRT Station "
"231",2015-03-16,"KR MRT Station ",2015-03-16,"Opp. Hon Sui Sen Memorial Library"
"232",2017-05-10,"University Town",2017-05-10,"KR MRT Station "
"233",2016-09-01,"KR MRT Station ",2016-09-01,"Opp. NUSS"
"234",2015-08-28,"Computer Centre",2015-08-28,"Opp. KR MRT Station"
"235",2016-01-14,"KR MRT Station ",2016-01-14,"University Health Centre"
"236",2016-09-01,"KR MRT Station ",2016-09-01,"Carpark 11 (BIZ)"
"237",2016-07-08,"KR MRT Station ",2016-07-08,"KR MRT Station "
"238",2016-04-20,"KR MRT Station ",2016-04-20,"Computer Centre"
"239",2016-03-23,"Computer Centre",2016-03-23,"S17"
"240",2015-01-28,"Opp. Yusof Ishak House",2015-01-28,"KR MRT Station "
"241",2017-12-27,"Central Library",2017-12-27,"University Town"
"242",2017-01-20,"Computer Centre",2017-01-20,"KR MRT Station "
"243",2015-02-24,"COM2",2015-02-24,"Central Library"
"244",2016-09-27,"University Town",2016-09-27,"Opp. University Health Centre"
"245",2017-12-13,"S17",2017-12-13,"Computer Centre"
"246",2017-12-05,"Computer Centre",2017-12-05,"LT29"
"247",2016-02-10,"University Town",2016-02-10,"University Hall"
"248",2015-04-02,"S17",2015-04-02,"Computer Centre"
"249",2016-06-30,"University Health Centre",2016-06-30,"Central Library"
"250",2016-10-22,"COM2",2016-10-22,"Opp. Yusof Ishak House"
"251",2017-03-17,"LT29",2017-03-17,"House 7"
"252",2016-04-26,"LT29",2016-04-26,"LT13"
"253",2016-06-16,"University Town",2016-06-16,"Opp. KR MRT Station"
"254",2016-09-08,"Central Library",2016-09-08,"Opp. KR MRT Station"
"255",2017-05-16,"LT29",2017-05-16,"Computer Centre"
"256",2015-10-29,"LT29",2015-10-29,"KR MRT Station "
"257",2016-09-12,"LT29",2016-09-12,"COM2"
"258",2017-05-25,"LT29",2017-05-25,"University Town"
"259",2015-04-02,"University Town",2015-04-02,"COM2"
"260",2016-08-16,"KR MRT Station ",2016-08-16,"Central Library"
"261",2016-10-15,"University Town",2016-10-15,"Computer Centre"
"262",2015-05-14,"PGP",2015-05-14,"KR MRT Station "
"263",2017-02-16,"KR MRT Station ",2017-02-16,"S17"
"264",2016-04-25,"University Town",2016-04-25,"Central Library"
"265",2015-06-01,"Opp. KR MRT Station",2015-06-01,"Opp. KR MRT Station"
"266",2015-09-09,"COM2",2015-09-09,"KR MRT Station "
"267",2015-08-15,"S17",2015-08-15,"Opp. University Hall"
"268",2017-05-01,"COM2",2017-05-01,"KR MRT Station "
"269",2016-06-27,"Opp. University Health Centre",2016-06-27,"PGP"
"270",2016-12-14,"University Town",2016-12-14,"KR MRT Station "
"271",2017-08-25,"University Town",2017-08-25,"LT29"
"272",2016-10-28,"University Town",2016-10-28,"Opp. University Health Centre"
"273",2017-12-25,"S17",2017-12-25,"Yusof Ishak House"
"274",2016-07-29,"Opp. University Health Centre",2016-07-29,"Central Library"
"275",2017-02-24,"University Town",2017-02-24,"KR MRT Station "
"276",2017-10-06,"KR MRT Station ",2017-10-06,"Opp. KR MRT Station"
"277",2015-06-03,"S17",2015-06-03,"House 7"
"278",2017-05-08,"University Town",2017-05-08,"S17"
"279",2016-03-17,"Opp. KR MRT Station",2016-03-17,"KR MRT Station "
"280",2017-04-15,"KR MRT Station ",2017-04-15,"S17"
"281",2016-03-22,"S17",2016-03-22,"Central Library"
"282",2015-01-22,"LT29",2015-01-22,"Museum"
"283",2015-01-06,"Opp. Hon Sui Sen Memorial Library",2015-01-06,"LT13"
"284",2017-05-17,"LT29",2017-05-17,"University Town"
"285",2016-08-25,"LT29",2016-08-25,"KR MRT Station "
"286",2017-12-06,"S17",2017-12-06,"COM2"
"287",2016-10-14,"Yusof Ishak House",2016-10-14,"University Town"
"288",2017-07-17,"Yusof Ishak House",2017-07-17,"COM2"
"289",2017-04-22,"Opp. KR MRT Station",2017-04-22,"S17"
"290",2015-10-02,"University Town",2015-10-02,"Computer Centre"
"291",2015-04-12,"Opp. KR MRT Station",2015-04-12,"KR MRT Station "
"292",2017-01-04,"University Town",2017-01-04,"House 7"
"293",2016-01-29,"COM2",2016-01-29,"Opp. KR MRT Station"
"294",2015-03-26,"Central Library",2015-03-26,"University Town"
"295",2017-07-10,"House 15",2017-07-10,"S17"
"296",2017-11-13,"University Town",2017-11-13,"BIZ2"
"297",2017-02-06,"KR MRT Station ",2017-02-06,"Computer Centre"
"298",2015-07-04,"University Town",2015-07-04,"Computer Centre"
"299",2015-10-30,"EA",2015-10-30,"KR MRT Station "
"300",2016-12-06,"KR MRT Station ",2016-12-06,"University Town"
"301",2017-09-01,"LT13",2017-09-01,"LT29"
"302",2015-07-08,"House 15",2015-07-08,"University Town"
"303",2015-11-18,"University Town",2015-11-18,"Opp. University Health Centre"
"304",2015-04-01,"KR MRT Station ",2015-04-01,"S17"
"305",2017-10-16,"S17",2017-10-16,"University Town"
"306",2016-05-13,"Opp. University Hall",2016-05-13,"Computer Centre"
"307",2015-12-04,"COM2",2015-12-04,"Computer Centre"
"308",2016-02-19,"University Town",2016-02-19,"Central Library"
"309",2015-11-03,"S17",2015-11-03,"COM2"
"310",2017-02-06,"Central Library",2017-02-06,"Opp. KR MRT Station"
"311",2017-06-14,"KR MRT Station ",2017-06-14,"COM2"
"312",2016-03-24,"Central Library",2016-03-24,"LT29"
"313",2016-02-04,"KR MRT Station ",2016-02-04,"Central Library"
"314",2016-09-30,"COM2",2016-09-30,"LT29"
"315",2017-08-18,"University Town",2017-08-18,"Opp. KR MRT Station"
"316",2017-04-01,"COM2",2017-04-01,"Opp. KR MRT Station"
"317",2016-03-16,"House 15",2016-03-16,"Central Library"
"318",2017-03-20,"S17",2017-03-20,"University Town"
"319",2016-02-10,"KR MRT Station ",2016-02-10,"Carpark 11 (BIZ)"
"320",2017-02-23,"University Town",2017-02-23,"Opp. NUSS"
"321",2017-11-06,"LT29",2017-11-06,"University Town"
"322",2016-12-07,"Computer Centre",2016-12-07,"University Town"
"323",2015-06-03,"COM2",2015-06-03,"KR MRT Station "
"324",2017-05-18,"COM2",2017-05-18,"University Town"
"325",2016-11-17,"PGP",2016-11-17,"Opp. KR MRT Station"
"326",2016-09-02,"Ventus (Opp. LT13)",2016-09-02,"LT29"
"327",2015-01-29,"KR MRT Station ",2015-01-29,"LT29"
"328",2015-06-15,"KR MRT Station ",2015-06-15,"Raffles Hall"
"329",2015-12-16,"COM2",2015-12-16,"KR MRT Station "
"330",2017-06-05,"AS7",2017-06-05,"Central Library"
"331",2017-03-30,"KR MRT Station ",2017-03-30,"S17"
"332",2015-10-09,"LT29",2015-10-09,"University Town"
"333",2016-05-12,"University Town",2016-05-12,"Opp. House 12"
"334",2016-11-04,"University Hall",2016-11-04,"LT29"
"335",2016-07-06,"COM2",2016-07-06,"University Town"
"336",2016-12-26,"Opp. NUSS",2016-12-26,"Opp. KR MRT Station"
"337",2016-04-14,"Opp. KR MRT Station",2016-04-14,"University Town"
"338",2017-05-02,"PGP",2017-05-02,"S17"
"339",2017-02-19,"KR MRT Station ",2017-02-19,"KR MRT Station "
"340",2016-11-18,"Central Library",2016-11-18,"AS7"
"341",2016-09-20,"Central Library",2016-09-20,"University Town"
"342",2016-11-11,"Computer Centre",2016-11-11,"KR MRT Station "
"343",2016-10-21,"S17",2016-10-21,"S17"
"344",2017-07-17,"KR MRT Station ",2017-07-17,"Computer Centre"
"345",2017-08-22,"KR MRT Station ",2017-08-22,"Opp. KR MRT Station"
"346",2017-06-28,"BIZ2",2017-06-28,"Opp. KR MRT Station"
"347",2016-08-05,"KR MRT Station ",2016-08-05,"University Town"
"348",2016-08-25,"House 15",2016-08-25,"LT29"
"349",2015-09-07,"Yusof Ishak House",2015-09-07,"KR MRT Station "
"350",2016-12-07,"COM2",2016-12-07,"Opp. KR MRT Station"
"351",2017-02-18,"Museum",2017-02-18,"KR MRT Station "
"352",2015-07-06,"S17",2015-07-06,"COM2"
"353",2015-03-23,"KR MRT Station ",2015-03-23,"University Town"
"354",2017-10-12,"Opp. KR MRT Station",2017-10-12,"University Town"
"355",2015-04-11,"Opp. KR MRT Station",2015-04-11,"University Town"
"356",2017-06-27,"KR MRT Station ",2017-06-27,"LT29"
"357",2016-06-06,"Opp. KR MRT Station",2016-06-06,"University Hall"
"358",2016-01-01,"S17",2016-01-01,"University Town"
"359",2016-09-19,"KR MRT Station ",2016-09-19,"University Town"
"360",2017-06-20,"S17",2017-06-20,"KR MRT Station "
"361",2017-08-03,"COM2",2017-08-03,"Opp. University Health Centre"
"362",2015-02-19,"Central Library",2015-02-19,"S17"
"363",2015-11-29,"KR MRT Station ",2015-11-29,"COM2"
"364",2015-09-03,"Kent Ridge Bus Terminal",2015-09-03,"Computer Centre"
"365",2016-06-13,"Computer Centre",2016-06-13,"University Town"
"366",2016-06-30,"KR MRT Station ",2016-06-30,"House 7"
"367",2016-05-24,"LT29",2016-05-24,"COM2"
"368",2017-09-20,"COM2",2017-09-20,"KR MRT Station "
"369",2017-06-30,"Opp. University Hall",2017-06-30,"Central Library"
"370",2015-08-04,"S17",2015-08-04,"University Town"
"371",2016-12-23,"Opp. KR MRT Station",2016-12-23,"KR MRT Station "
"372",2016-04-27,"Opp. KR MRT Station",2016-04-27,"LT29"
"373",2017-09-27,"KR MRT Station ",2017-09-27,"Computer Centre"
"374",2016-02-11,"University Town",2016-02-11,"KR MRT Station "
"375",2016-03-30,"University Town",2016-03-30,"KR MRT Station "
"376",2016-11-28,"LT13",2016-11-28,"Opp. KR MRT Station"
"377",2017-12-21,"Opp. Hon Sui Sen Memorial Library",2017-12-21,"BIZ2"
"378",2017-10-25,"KR MRT Station ",2017-10-25,"LT29"
"379",2015-03-23,"University Town",2015-03-23,"University Health Centre"
"380",2017-01-19,"KR MRT Station ",2017-01-19,"LT29"
"381",2015-04-04,"KR MRT Station ",2015-04-04,"KR MRT Station "
"382",2017-02-21,"KR MRT Station ",2017-02-21,"KR MRT Station "
"383",2016-09-01,"AS7",2016-09-01,"Opp. NUSS"
"384",2015-04-12,"KR MRT Station ",2015-04-12,"S17"
"385",2016-04-20,"University Town",2016-04-20,"KR MRT Station "
"386",2015-10-05,"Central Library",2015-10-05,"University Town"
"387",2015-04-16,"AS7",2015-04-16,"COM2"
"388",2017-12-12,"S17",2017-12-12,"Central Library"
"389",2017-06-12,"University Town",2017-06-12,"Opp. KR MRT Station"
"390",2016-01-28,"LT29",2016-01-28,"Opp. NUSS"
"391",2016-02-26,"University Hall",2016-02-26,"Opp. KR MRT Station"
"392",2017-05-01,"PGP",2017-05-01,"Opp. KR MRT Station"
"393",2017-02-24,"University Town",2017-02-24,"Kent Ridge Bus Terminal"
"394",2015-05-29,"Central Library",2015-05-29,"University Town"
"395",2017-03-17,"LT29",2017-03-17,"Opp. NUSS"
"396",2015-11-17,"Opp. KR MRT Station",2015-11-17,"KR MRT Station "
"397",2015-11-20,"KR MRT Station ",2015-11-20,"Opp. KR MRT Station"
"398",2016-04-20,"LT29",2016-04-20,"Opp. KR MRT Station"
"399",2017-10-09,"University Town",2017-10-09,"KR MRT Station "
"400",2016-03-14,"KR MRT Station ",2016-03-14,"Central Library"
"401",2015-10-09,"KR MRT Station ",2015-10-09,"Yusof Ishak House"
"402",2015-02-12,"Opp. Hon Sui Sen Memorial Library",2015-02-12,"COM2"
"403",2016-02-23,"COM2",2016-02-23,"University Town"
"404",2017-01-22,"Computer Centre",2017-01-22,"University Town"
"405",2015-07-27,"BIZ2",2015-07-27,"S17"
"406",2015-07-21,"KR MRT Station ",2015-07-21,"House 15"
"407",2016-11-29,"KR MRT Station ",2016-11-29,"House 7"
"408",2015-11-06,"KR MRT Station ",2015-11-06,"University Town"
"409",2016-01-11,"University Town",2016-01-11,"LT29"
"410",2017-03-28,"BIZ2",2017-03-28,"LT29"
"411",2016-02-22,"KR MRT Station ",2016-02-22,"University Town"
"412",2017-04-22,"Opp. KR MRT Station",2017-04-22,"KR MRT Station "
"413",2017-10-16,"University Town",2017-10-16,"Kent Ridge Bus Terminal"
"414",2017-03-16,"Computer Centre",2017-03-16,"KR MRT Station "
"415",2015-05-27,"AS7",2015-05-27,"Central Library"
"416",2017-10-11,"University Town",2017-10-11,"Opp. KR MRT Station"
"417",2017-08-24,"S17",2017-08-24,"House 12"
"418",2017-06-19,"KR MRT Station ",2017-06-19,"University Health Centre"
"419",2015-06-02,"Computer Centre",2015-06-02,"EA"
"420",2016-11-29,"Central Library",2016-11-29,"University Town"
"421",2016-10-10,"University Town",2016-10-10,"LT29"
"422",2015-04-16,"Opp. NUSS",2015-04-16,"S17"
"423",2017-03-17,"University Town",2017-03-17,"S17"
